date,close,中国债10,非中进出口,成交量笔,中工财,美财政,非中GDP,中GDP,非中M2,中电,中进出口,中外贸,中财政综,中汇率,美股,金银,中储,中能源,中零售三产中M,另外股指
1997/3/19,-1.080642605540563,-1.6610087937295501,-5.8437523662144235,-1.0347793005326904,-3.7677356072728614,-2.660199686885471,-5.873719351305189,-1.7703927274156783,-0.7565460278502292,-2.7023741155660055,-3.1009018979790546,-1.5663918734799893,-2.808415767199487,2.1419440926012077,-3.3763737671000325,-2.316575187342914,-1.9197499952091261,-3.5786794122173253,-1.6426169311597831,-1.7029235806064282
1997/3/20,-1.0435692427415615,-1.6608549737079836,-5.840198757230794,-1.0367469873706239,-3.7672741501076987,-2.6583363120513326,-5.870332030786821,-1.7721153367063551,-0.7566066802484233,-2.7021252230228994,-3.1002825057802927,-1.5659643685404743,-2.80792814181752,2.1384066920260945,-3.3965239461574224,-2.309857385501137,-1.9196202409471868,-3.579896870948876,-1.642798269454136,-1.7029235806064282
1997/3/21,-1.0300053130169964,-1.6607011536864167,-5.836645148247165,-1.0398869239853339,-3.7668126929425356,-2.656472937217194,-5.866944710268454,-1.7738379459970322,-0.7566673326466171,-2.701876330479794,-3.0996631135815305,-1.565536863600959,-2.8074405164355527,2.138724459469659,-3.4172671940411594,-2.3140846869763187,-1.9194904866852474,-3.581114329680426,-1.6429796077484888,-1.7029235806064282
1997/3/24,-1.1282447729035217,-1.6605473336648502,-5.833091539263535,-1.0226427969524319,-3.7663512357773734,-2.653775159135927,-5.8635573897500874,-1.7755605552877092,-0.756727985044811,-2.701627437936688,-3.0990437213827686,-1.5651093586614437,-2.8069528910535864,2.1337804027735983,-3.4419156867656886,-2.3185131200141256,-1.9193607324233075,-3.5823317884119765,-1.6431609460428411,-1.6991517566430103
1997/3/25,-1.0607265691245436,-1.6603935136432835,-5.829537930279905,-1.0247628573531202,-3.76588977861221,-2.651077381054661,-5.860170069231721,-1.7772831645783862,-0.7568559979423872,-2.701378545393582,-3.0984243291840063,-1.564681853721929,-2.806465265671619,2.1312936155178863,-3.443317435134495,-2.316793862971266,-1.919230978161368,-3.5835492471435266,-1.6433422843371939,-1.6588615879568747
1997/3/26,-1.0246282770117756,-1.660239693621717,-5.825984321296277,-1.0251643205310499,-3.7654283214470476,-2.648379602973394,-5.856782748713353,-1.7790057738690632,-0.756984010839963,-2.7011296528504762,-3.097804936985244,-1.5642543487824139,-2.805977640289652,2.1296613309858854,-3.3956435062676977,-2.325073851348874,-1.9191012238994287,-3.584766705875077,-1.6435236226315466,-1.6406756890090692
1997/3/27,-1.063931461056415,-1.6600858736001503,-5.822430712312647,-1.0263093260340665,-3.764966864281884,-2.649287436971062,-5.853395428194986,-1.7807283831597402,-0.7571120237375396,-2.70088076030737,-3.097185544786482,-1.5638268438428988,-2.805490014907685,2.127593037549411,-3.4082708675464595,-2.3211003782044735,-1.918971469637489,-3.5859841646066273,-1.6437049609258993,-1.6444244319430907
1997/3/31,-1.0607265691245436,-1.6599320535785833,-5.818877103329017,-1.0324834838297199,-3.764505407116722,-2.6501952709687293,-5.850008107676619,-1.7824509924504173,-0.7572400366351157,-2.700631867764264,-3.0965661525877204,-1.5633993389033833,-2.8050023895257183,2.123842011293371,-3.4738262360111283,-2.323866046010942,-1.9188417153755495,-3.587201623338178,-1.6438862992202519,-1.6192145511144516
1997/4/1,-1.1146525487170793,-1.660059841852394,-5.8252145678226395,-1.0342580313295735,-3.7640439499515583,-2.6505250272054877,-5.845853078219982,-1.7841736017410945,-0.7571776053600122,-2.7003829752211583,-3.0960290492496316,-1.5638894628636915,-2.8045147641437507,2.125450534329658,-3.4713939107424627,-2.326631713817411,-1.9186982734343128,-3.5864517712040875,-1.6433028930275664,-1.6128796441025781
1997/4/2,-1.2253851017709667,-1.6601876301262044,-5.831552032316263,-1.036298667382717,-3.7635824927863957,-2.6508547834422465,-5.841698048763343,-1.7858962110317709,-0.7571151740849082,-2.7001340826780527,-3.0954919459115438,-1.5643795868239996,-2.804144638226291,2.1247529625888344,-3.484668501119552,-2.328863434915104,-1.9185548314930763,-3.5846083841662195,-1.64264907905965,-1.6213840978292633
1997/4/3,-1.194164339586432,-1.6603154184000148,-5.837889496809886,-1.0427022746816372,-3.7631210356212326,-2.65113771354811,-5.837543019306706,-1.7876188203224483,-0.7570527428098048,-2.699885190134947,-3.094954842573455,-1.5648697107843077,-2.8037745123088316,2.126592626391289,-3.4779801558777454,-2.3362572253802796,-1.9184113895518398,-3.582764997128352,-1.641995265091733,-1.61174542248457
1997/4/4,-1.1544432681048356,-1.6604432066738253,-5.844226961303509,-1.028464569977493,-3.76265957845607,-2.651420643653973,-5.833387989850069,-1.7893414296131251,-0.7569903115347012,-2.699636297591841,-3.0944177392353662,-1.5653598347446156,-2.8034043863913714,2.1315129215916375,-3.4478344925865834,-2.3440503506550208,-1.918267947610603,-3.580921610090485,-1.6413414511238165,-1.5970500329536035
1997/4/7,-1.1829880271448976,-1.6605709949476357,-5.850564425797129,-1.0252495402776391,-3.7621981212909072,-2.653664421390587,-5.829232960393432,-1.7910640389038024,-0.7569278802595979,-2.699387405048735,-3.093880635897278,-1.5658499587049237,-2.803034260473912,2.133130202170543,-3.398406873622544,-2.3425884957333,-1.9181245056693663,-3.5790782230526172,-1.6406876371558998,-1.580256045944797
1997/4/8,-1.31320784669251,-1.6606987832214462,-5.856901890290754,-1.0309918653053876,-3.761736664125744,-2.6559081991272,-5.825077930936794,-1.7927866481944792,-0.7566838685078989,-2.699138512505629,-3.093343532559189,-1.5663400826652316,-2.8026641345564522,2.1329935413695758,-3.398493308694031,-2.337854592524306,-1.9179810637281296,-3.5772348360147497,-1.640033823187983,-1.6154188144737136
1997/4/9,-1.2924810651188527,-1.6608265714952566,-5.863239354784375,-1.0352875861493773,-3.761275206960581,-2.6581519768638135,-5.820922901480157,-1.794509257485156,-0.7564398567561996,-2.6988896199625234,-3.092806429221101,-1.5668302066255397,-2.802294008638992,2.132999297689226,-3.3675975888114755,-2.34216575300209,-1.9178376217868933,-3.575391448976882,-1.639380009220066,-1.5773435658143333
1997/4/10,-1.26257817190868,-1.6609543597690672,-5.869576819277999,-1.034175823944247,-3.7608137497954184,-2.659271927458941,-5.816767872023519,-1.7962318667758332,-0.7561958450045008,-2.6986407274194173,-3.092269325883013,-1.5673203305858476,-2.8019238827215327,2.1334947563884223,-3.384706241139408,-2.3420039324482196,-1.9176941798456564,-3.5735480619390145,-1.6387261952521492,-1.5858931930572246
1997/4/11,-1.2749765874536065,-1.6610821480428777,-5.875914283771622,-1.0379874875393071,-3.7603522926302557,-2.6603918780540687,-5.812612842566882,-1.79795447606651,-0.7559518332528017,-2.6983918348763116,-3.091732222544924,-1.5678104545461558,-2.801553756804073,2.134622334587783,-3.4250542747277417,-2.3404459042187153,-1.9175507379044199,-3.571704674901147,-1.6380723812842326,-1.5953373041121766
1997/4/14,-1.282596503686871,-1.6612099363166881,-5.882251748265244,-1.0411057332863052,-3.759890835465092,-2.6603853842655742,-5.808457813110245,-1.799677085357187,-0.7557078215011029,-2.6981429423332055,-3.0911951192068354,-1.5683005785064636,-2.801183630886613,2.1343520142088157,-3.4196402644923136,-2.3458776993144403,-1.9174072959631834,-3.5698612878632794,-1.637418567316316,-1.5595785353885632
1997/4/15,-1.2588367734496735,-1.6613377245904986,-5.888589212758867,-1.0426377374307128,-3.7594293782999295,-2.6603788904770793,-5.804302783653606,-1.801399694647864,-0.7554677147058892,-2.6978940497901,-3.090658015868747,-1.5687907024667718,-2.8008135049691534,2.1351947581669393,-3.3875721142014372,-2.3471819049028126,-1.9172638540219464,-3.5680179008254123,-1.636764753348399,-1.5552085458823948
1997/4/16,-1.2032261851269048,-1.661465512864309,-5.8949266772524895,-1.0395945750459206,-3.7589679211347664,-2.660372396688585,-5.800147754196969,-1.8031223039385411,-0.7552276079106761,-2.6976451572469937,-3.0901209125306583,-1.5692808264270797,-2.800443379051693,2.1337938583656406,-3.374696051766586,-2.3508042884279607,-1.9171204120807097,-3.5661745137875447,-1.6361109393804822,-1.552630278501828
1997/4/17,-1.2005349465029598,-1.6615933011381194,-5.901264141746113,-1.0399394086240312,-3.758506463969604,-2.6569944214756327,-5.795992724740334,-1.804844913229218,-0.7549875011154634,-2.6973962647038876,-3.08958380919257,-1.5697709503873878,-2.8000732531342334,2.134565393763456,-3.381711485408019,-2.3456254309613365,-1.9169769701394732,-3.564331126749677,-1.635457125412566,-1.555258867464003
1997/4/18,-1.1761255318911186,-1.6617210894119299,-5.9076016062397345,-1.0402165205130798,-3.7580450068044406,-2.6536164462626806,-5.791837695283694,-1.8065675225198952,-0.7547473943202502,-2.6971473721607824,-3.0890467058544817,-1.570261074347696,-2.799703127216774,2.1330932854018494,-3.393873914979741,-2.3505070021613963,-1.9168335281982365,-3.562487739711809,-1.634803311444649,-1.5422551837087468
1997/4/21,-1.1771637209923087,-1.6618488776857405,-5.913939070733358,-1.029000434209384,-3.7575835496392784,-2.6468591378988604,-5.787682665827057,-1.808290131810572,-0.7545072875250374,-2.696898479617676,-3.0885096025163934,-1.570751198308004,-2.7993330012993143,2.1330990417215,-3.3866457434989945,-2.34917476562292,-1.916690086257,-3.560644352673942,-1.6341494974767323,-1.5106350467241265
1997/4/22,-1.2695908454601157,-1.661976665959551,-5.92027653522698,-1.0325131066502113,-3.757122092474115,-2.6401018295350416,-5.783527636370419,-1.8100127411012492,-0.7541519845134891,-2.6966495870745706,-3.087972499178305,-1.571241322268312,-2.7989628753818545,2.134573905179788,-3.3602233055491197,-2.3486470553349457,-1.9165466443157635,-3.5588009656360744,-1.6334956835088155,-1.5080095624348056
1997/4/23,-1.2700043799029377,-1.6621044542333614,-5.926613999720603,-1.029326726611772,-3.7566606353089527,-2.633344521171222,-5.779372606913782,-1.811735350391926,-0.7537966815019415,-2.6964006945314645,-3.0874353958402168,-1.5717314462286198,-2.7985927494643947,2.131285404420618,-3.329096485209924,-2.3519772181280043,-1.9164032023745268,-3.5569575785982073,-1.6328418695408986,-1.4958442857726755
